New_date,Closing,RET,MA200,MA50
5/10/2022,19633.69,-0.018583301,23993.7144,21307.0658
5/11/2022,19824.57,0.009675109,23955.38835,21230.3516
5/12/2022,19380.34,-0.022662927,23915.9938,21159.9272
5/13/2022,19898.77,0.026398771,23879.36475,21102.559
5/16/2022,19950.21,0.002581749,23840.4966,21047.3028
5/17/2022,20602.52,0.032173729,23806.8993,21004.119
5/18/2022,20644.28,0.002024885,23779.1591,20970.1262
5/19/2022,20120.68,-0.025690142,23754.33035,20923.193
5/20/2022,20717.24,0.029218062,23730.54715,20899.432
5/23/2022,20470.06,-0.012002873,23701.32085,20887.6806
5/24/2022,20112.1,-0.017641707,23672.0762,20874.6052
5/25/2022,20171.27,0.002937691,23641.75355,20865.4764
5/26/2022,20116.2,-0.002733854,23611.36045,20849.9952
5/27/2022,20697.36,0.028480695,23582.7145,20852.8666
5/30/2022,21123.93,0.020400365,23557.3107,20884.712
5/31/2022,21415.2,0.013694429,23533.4897,20944.7144
6/1/2022,21294.94,-0.005631464,23508.5474,20968.8632
6/2/2022,21082.13,-0.010043724,23480.92995,20960.4812
6/6/2022,21653.9,0.026759815,23455.89865,20965.3112
6/7/2022,21531.67,-0.005660702,23430.9679,20971.5178
6/8/2022,22014.59,0.022180541,23409.08275,20974.024
6/9/2022,21869.05,-0.00663302,23387.5207,20968.3234
6/10/2022,21806.18,-0.002878979,23367.82225,20965.528
6/13/2022,21067.58,-0.03445805,23343.8251,20958.782
6/14/2022,21067.99,1.95E-05,23322.5834,20946.4424
6/15/2022,21308.21,0.011337617,23304.87585,20934.054
6/16/2022,20845.43,-0.021957705,23283.55505,20906.322
6/17/2022,21075,0.010952764,23260.29045,20887.885
6/20/2022,21163.91,0.004209869,23237.64025,20870.3722
6/21/2022,21559.59,0.018523357,23218.35975,20851.5178
6/22/2022,21008.34,-0.025901227,23196.362,20830.0742
6/23/2022,21273.87,0.012560057,23175.03365,20819.372
6/24/2022,21719.06,0.020710657,23154.234,20816.313
6/27/2022,22229.52,0.023230919,23135.24015,20836.7374
6/28/2022,22418.97,0.00848634,23116.88285,20858.7342
6/29/2022,21996.89,-0.019006396,23097.35735,20871.1846
6/30/2022,21859.79,-0.006252204,23075.83815,20878.0188
7/4/2022,21830.35,-0.001347673,23053.22175,20894.0706
7/5/2022,21853.07,0.001040212,23030.88245,20912.2386
7/6/2022,21586.66,-0.012265884,23010.23575,20930.3274
7/7/2022,21643.58,0.002633343,22987.4241,20950.4286
7/8/2022,21725.78,0.003790699,22966.98395,20987.5574
